Sector,Year,Month,Commodity_Index
Rural+Urban,2017,August,136.57142857142858
Rural+Urban,2017,September,134.67142857142858
Rural+Urban,2017,October,135.54285714285714
Rural+Urban,2017,November,137.41428571428574
Rural+Urban,2017,December,135.31428571428572
Rural+Urban,2018,January,133.31428571428572
Rural+Urban,2018,February,131.41428571428574
Rural+Urban,2018,March,130.8857142857143
Rural+Urban,2018,April,131.27142857142857
Rural+Urban,2018,May,131.11428571428573
Rural+Urban,2018,June,132.28571428571428
Rural+Urban,2018,July,134.35714285714286
Rural+Urban,2018,August,134.8857142857143
Rural+Urban,2018,September,132.95714285714286
Rural+Urban,2018,October,131.3857142857143
Rural+Urban,2018,November,131.4142857142857
Rural+Urban,2018,December,129.25714285714284
Rural+Urban,2019,January,127.77142857142857
Rural+Urban,2019,February,127.91428571428573
Rural+Urban,2019,March,128.61428571428573
Rural+Urban,2019,May,132.07142857142858
Rural+Urban,2019,June,134.0142857142857
Rural+Urban,2019,July,136.45714285714286
Rural+Urban,2019,August,137.9
Rural+Urban,2019,September,139.0142857142857
Rural+Urban,2019,October,142.0
Rural+Urban,2019,November,144.38571428571427
Rural+Urban,2019,December,147.55714285714288
Rural+Urban,2020,January,145.68571428571428
Rural+Urban,2020,February,142.2
Rural+Urban,2020,March,140.51428571428573
Rural+Urban,2020,April,147.15714285714284
Rural+Urban,2020,May,146.02142857142857
Rural+Urban,2020,June,144.8857142857143
Rural+Urban,2020,July,144.8857142857143
Rural+Urban,2020,August,148.6142857142857
Rural+Urban,2020,September,150.1
Rural+Urban,2020,October,153.72857142857143
Rural+Urban,2020,November,157.45714285714286
Rural+Urban,2020,December,158.4714285714286
Rural+Urban,2021,January,154.08571428571426
Rural+Urban,2021,February,149.92857142857142
Rural+Urban,2021,March,149.58571428571426
Rural+Urban,2021,April,151.65714285714287
Rural+Urban,2021,May,155.4857142857143
Rural+Urban,2021,June,157.14285714285714
Rural+Urban,2021,July,157.62857142857143
Rural+Urban,2021,August,158.02857142857144
Rural+Urban,2021,September,158.02857142857144
Rural+Urban,2021,October,162.20000000000002
Rural+Urban,2021,November,164.47142857142856
Rural+Urban,2021,December,162.20000000000002
Rural+Urban,2022,January,159.7428571428571
Rural+Urban,2022,February,159.3142857142857
Rural+Urban,2022,March,161.5
Rural+Urban,2022,April,165.17142857142858
Rural+Urban,2022,May,167.3857142857143
Rural+Urban,2022,June,168.45714285714283
Rural+Urban,2022,July,168.98571428571427
Rural+Urban,2022,August,170.57142857142858
Rural+Urban,2022,September,171.10000000000005
Rural+Urban,2022,October,172.4
Rural+Urban,2022,November,170.78571428571428
Rural+Urban,2022,December,167.6285714285714
