RMSE,MAE,MAPE,R2,Fold,Model
0.8325462950090723,0.5716666666666668,9.90367822482056,-0.0542631073611628,1,Last Value Naive
0.8949999999999998,0.7174999999999999,14.117886774871206,-0.5108710316706635,2,Last Value Naive
0.5581965006459045,0.46666666666666673,6.905998158036709,0.18131258575891185,3,Last Value Naive
1.0567126698713643,0.7941666666666668,13.799090620090656,-0.3009206970760989,4,Last Value Naive
3.3877598301335747,3.2583333333333333,50.30411391177781,-16.45651124544357,1,Seasonal Naive
1.9324983829229974,1.5866666666666667,34.33368484830763,-6.044004133860589,2,Seasonal Naive
1.8350590362892052,1.5558333333333332,22.559075293321683,-7.84797681954865,3,Seasonal Naive
1.6742013021139361,1.3066666666666666,26.23209744904503,-2.2655199754049278,4,Seasonal Naive
1.6755524519452374,1.403348532131506,21.379666612235575,-3.2702006230612275,1,Linear Regression
2.4502993843832424,2.3171402501742313,44.44165813426215,-10.324515372010534,2,Linear Regression
1.1433073930460613,0.8989470420388809,13.168760887892303,-2.43455059555193,3,Linear Regression
0.5468515751647225,0.422187448590458,7.182866762472724,0.6516017789561667,4,Linear Regression
1.4960677772789888,1.3544794233648745,20.61792216308088,-2.404354382428517,1,Ridge Regression
1.8957791085491853,1.7615672741414707,33.26063316422626,-5.77886195304299,2,Ridge Regression
0.6048499421915022,0.5417675871267843,8.030805824734896,0.03874373832319167,3,Ridge Regression
0.5048454027978867,0.44184913401199316,7.578922239573332,0.7030701863678007,4,Ridge Regression
0.8183705581555514,0.7457889866593633,12.153528447948542,-0.018666954098641275,1,Lasso Regression
1.126288138853419,0.910842399238243,16.991012264271262,-1.3926564498304854,2,Lasso Regression
0.5458489331569512,0.46763463142662925,6.9065847838292465,0.2171314861596837,3,Lasso Regression
0.47035128411761423,0.38096922168539593,6.46093254772976,0.7422600962133561,4,Lasso Regression
1.228924487016197,1.124149493378302,17.40071958820398,-1.297114377346611,1,ElasticNet
1.5294173581772428,1.3529806878367996,25.25421644988163,-3.411978156962469,2,ElasticNet
0.5540862713942307,0.4673221123152697,6.914034427986106,0.19332485758092743,3,ElasticNet
0.45873666710395244,0.3610959884417959,6.016386243258026,0.7548319324657166,4,ElasticNet
2.011639130763827,1.8422612597076782,27.977862973364704,-5.155061182739016,1,KNN Regressor
1.2269259030903008,0.9956300598634495,21.118174364248453,-1.839343883511173,2,KNN Regressor
1.7345558710509184,1.6337635175889753,23.810422369870167,-6.905338693888094,3,KNN Regressor
0.9132823425455058,0.6765098223121099,13.076822993083242,0.028266631951113008,4,KNN Regressor
1.0597500098772676,0.9974482768740721,15.204500012935329,-0.7082014368756451,1,SVR
0.9661426799543424,0.7825001978303382,16.922012019252517,-0.7606128178000648,2,SVR
1.1889077938970563,1.0670094672213195,15.37573865839341,-2.713985835256031,3,SVR
1.024698163157005,0.8776061777298071,17.000130826918934,-0.22328854616540927,4,SVR
1.2736402386959698,1.2032107421929898,18.144761763062167,-1.467321636671521,1,Random Forest
0.891351079320851,0.6977123413900906,13.71504889624117,-0.4985764837733955,2,Random Forest
1.007815138042171,0.8423172550146615,12.193078853992798,-1.6687362193684177,3,Random Forest
0.876952378916553,0.6630186063011057,11.510155083030499,0.10403918719935112,4,Random Forest
1.0757538228262797,0.9921352597006553,15.188962575560746,-0.7601838032958514,1,Gradient Boosting
0.9302462722112108,0.7158899283398764,13.785231734461266,-0.6322143828831321,2,Gradient Boosting
1.1957717830562002,1.0214882033969557,14.686399096853394,-2.7569939609320757,3,Gradient Boosting
0.6210454784774835,0.4776927922329539,8.143314421617813,0.5506509762578682,4,Gradient Boosting
1.1078359880719009,1.023906405766805,15.800436847890694,-0.8667371156283121,1,XGBoost
0.7483135655738569,0.6174426809946696,12.040971088118448,-0.05620582995827772,2,XGBoost
1.2497934517453946,1.1505726067225137,16.725414348739832,-3.1041231565792797,3,XGBoost
0.8227137887259283,0.6291837517420452,10.783344108599708,0.2114403581252161,4,XGBoost
1.030166203397949,0.9939517185293628,15.433235198629516,-0.6141608886267662,1,Voting Ensemble
1.0638393081835276,0.8568187123082005,15.839328382095166,-1.1346829934552787,2,Voting Ensemble
0.7411878960401996,0.5896829439532648,8.489420862650928,-0.44344596827386784,3,Voting Ensemble
0.5564823730950083,0.4179866852685705,6.938648655683709,0.6392221894028813,4,Voting Ensemble
